index,title,original_title,budget,id,genre,language,homepage,overview,popularity,runtime,revenue,release_date,vote_average,vote_count,spoken_languages,production_countries,web_url,snippet,source,keywords,pub_date,word_count,headline.main,headline.kicker,headline.content_kicker,headline.print_headline,headline.name,headline.seo,headline.sub,byline.original,byline.organization
10,Hard Luck Love Song,Hard Luck Love Song,0,536208,"'Romance', 'Music', 'Drama', 'Thriller'",en,http://HardLuckLoveSong.com,"Jesse, a charismatic but down on his luck troubadour, finds himself at an existential crossroads as bad choices catch up with him during an unexpected reunion with Carla, an old flame.",3.988,104,0,2021-10-15,5.0,8,"'English', 'Spanish'",'United States of America',https://www.nytimes.com/2021/10/14/movies/hard-luck-love-song-review.html,"Drawn from the plotline of a Todd Snider song, the film follows a pool shark and an escort, taking twists that are both violent and silly.",The New York Times,"subject: Movies;persons: Dorman, Michael (1981- );creative_works: Hard Luck Love Song (Movie);persons: Bush, Sophia (1982- );",2021-10-14T12:27:03+0000,320,‘Hard Luck Love Song’ Review: A Glossy Take on a Gritty Tune,,,Hard Luck Love Song,,,,By Glenn Kenny,
11,See You Then,See You Then,0,794903,'Drama',en,https://vanishingangle.com/see-you-then,"A decade after abruptly breaking up with Naomi, Kris invites her to a dinner to catch-up on their complicated lives, relationships, and Kris' transition.",1.906,74,0,2022-04-01,2.5,2,'English','United States of America',https://www.nytimes.com/2022/04/18/movies/see-you-then-review.html,"Former lovers reconnect, litigating the past and present, in this drama from Mari Walker.",The New York Times,"subject: Movies;creative_works: See You Then (Movie);persons: Walker, Mari;",2022-04-18T11:00:03+0000,300,‘See You Then’ Review: The More Things Stay the Same,,,The Persistent Melancholy of Love,,,,By Kyle Turner,
12,Kalank,कलंक,0,556271,"'Drama', 'Romance'",hi,,"Set in 1945, in Pre-Independent India, the elite, opulent and solemn world of the Chaudhry family, and the wild, mysterious and musical underbelly of the town, Hira Mandi, clash when Roop Chaudhry encounters Zafar, a daredevil from Hira Mandi, unleashing deep-buried truths, secrets of betrayal and affairs that threaten to bring both worlds crashing down.",6.878,166,0,2019-04-17,5.466,44,'Hindi','India',https://www.nytimes.com/2019/04/19/movies/kalank-review.html,Abhishek Varman’s maximalist melodrama delivers spectacle (some of it mind-numbing) but fails to tell a gripping story.,The New York Times,"subject: Movies;creative_works: Kalank (Movie);persons: Varman, Abhishek;",2019-04-19T15:38:08+0000,479,‘Kalank’ Review: A Bollywood Love Story in the Shadow of Partition,,,An Extravagant Spectacle,,,,By Rachel Saltz,
13,Your Name Engraved Herein,刻在你心底的名字,0,719410,"'Romance', 'Drama'",zh,,"In 1987, as martial law ends in Taiwan, Jia-han and Birdy fall in love amid family pressure, homophobia and social stigma.",20.357,114,0,2020-09-30,7.885,227,"'Mandarin', 'English'","'Taiwan', 'United States of America'",https://www.nytimes.com/2020/12/24/movies/review-your-name-engraved-herein.html,The filmmaker Patrick Liu keeps the focus on the two young men in this Taiwanese drama and blurs the rest.,The New York Times,"subject: Movies;glocations: Taiwan;persons: Liu, Patrick (Filmmaker);creative_works: Your Name Engraved Herein (Movie);",2020-12-24T12:00:06+0000,295,‘Your Name Engraved Herein’ Review: When Love Is All You Can See,,,Your Name Engraved Herein,,,,By Teo Bugbee,
14,Tu Me Manques,Tu me manques,0,612437,"'Drama', 'Romance'",es,,"Following his son Gabriel’s death, Jorge travels from conservative Bolivia to New York City to confront Gabriel’s boyfriend Sebastian. While the two battle over Jorge’s inability to accept his son, Sebastian channels his grief into a bold new play in honor of his lost love, in which Gabriel’s inner turmoil is transformed into an eye-popping gay fantasia.",4.146,105,0,2019-07-27,6.9,21,"'English', 'Spanish'","'Bolivia', 'United States of America'",https://www.nytimes.com/2021/04/22/movies/tu-me-manques-review.html,A conservative father who could not accept his son’s sexuality is led on a contemplative tour of queer life in New York in this Bolivian film.,The New York Times,"subject: Movies;creative_works: Tu Me Manques (Movie);persons: Martinez, Oscar (1949- );persons: Barbosa, Fernando (Actor);persons: Bellott, Rodrigo;glocations: Bolivia;",2021-04-22T11:00:07+0000,301,‘Tu Me Manques’ Review: Traces of a Lost Love,,,Tu Me Manques,,,,By Teo Bugbee,
15,Together,Trolls Band Together,95000000,901362,"'Animation', 'Family', 'Music', 'Fantasy', 'Comedy'",en,https://www.dreamworks.com/movies/trolls-band-together,"When Branch's brother, Floyd, is kidnapped for his musical talents by a pair of nefarious pop-star villains, Branch and Poppy embark on a harrowing and emotional journey to reunite the other brothers and rescue Floyd from a fate even worse than pop-culture obscurity.",1710.225,92,161200000,2023-10-12,7.181,279,'English','United States of America',https://www.nytimes.com/2021/08/26/movies/together-review.html,Sharon Horgan and James McAvoy play a battling couple trapped in lockdown in this theatrical pandemic drama.,The New York Times,"subject: Movies;creative_works: Together (Movie);persons: Daldry, Stephen;persons: McAvoy, James;persons: Horgan, Sharon (1970- );",2021-08-26T11:00:06+0000,412,‘Together’ Review: Love and Loathing in London,,,Love and Loathing in a Blighted London,,,,By Jeannette Catsoulis,
16,Alcarràs,Alcarràs,0,804251,'Drama',ca,https://www.alcarras-film.com/,"In a small village in Catalonia, the peach farmers of the Solé family spend every summer together picking fruit from their orchard. But when plans arise to install solar panels and cut down trees, the members of this tight-knit group suddenly face eviction – and the loss of far more than their home.",8.75,120,0,2022-04-29,6.888,156,'Catalan','Spain',https://www.nytimes.com/2023/01/05/movies/alcarras-review.html,"In this naturalistic drama from Spain, a family confronts the impending loss of its generations-old farm.",The New York Times,"subject: Movies;persons: Simon, Carla;creative_works: Alcarras (Movie);",2023-01-05T12:00:03+0000,306,‘Alcarràs’ Review: Labor of Love,,,Alcarràs,,,,By Devika Girish,
17,Queen & Slim,Η Μαύρη Εμμανουέλα,0,40108,"'Crime', 'Drama'",el,,"After years of abuse at the hands of her husband, a woman, Emmanouella, is pushed to the breaking point. She hires a hitman to do in her husband, but just when she thinks her troubles are at an end, the assassin blackmails her. As her husband's business partner struggles to prove her guilt, and as the hitman continues to threaten her new found security, Emmanouella struggles to keep her name clear and to keep her naive stepdaughter from becoming tangled in the web of danger she has created.",63.718,91,0,1980-03-12,6.058,69,"'Greek', 'Italian'","'Cyprus', 'Greece'",https://www.nytimes.com/2019/11/26/movies/queen-and-slim-review.html,Daniel Kaluuya and Jodie Turner-Smith star in Melina Matsoukas’s dreamy but intense outlaw romance.,The New York Times,"subject: Movies;creative_works: Queen & Slim (Movie);persons: Matsoukas, Melina;persons: Waithe, Lena;persons: Kaluuya, Daniel;persons: Turner-Smith, Jodie;",2019-11-26T17:41:50+0000,799,‘Queen & Slim’ Review: Love on the Run,critic’s pick,,Love Simmers Inside a Cauldron,,,,By A.O. Scott,
18,Falling Inn Love,Falling Inn Love,0,623195,"'Romance', 'Comedy'",en,https://www.netflix.com/title/80999781,"When a San Francisco exec wins a New Zealand inn, she ditches city life to remodel and flip the rustic property with help from a handsome contractor.",14.701,98,0,2019-08-29,6.522,1097,'English','United States of America',https://www.nytimes.com/2019/08/29/movies/falling-inn-love-review.html,"It’s hard to find a reliable, talented, reasonably priced, eco-friendly contractor these days.",The New York Times,"subject: Movies;organizations: Netflix Inc;persons: Kumble, Roger;persons: Milian, Christina;persons: Demos, Adam;creative_works: Falling Inn Love (Movie);",2019-08-29T14:56:44+0000,374,‘Falling Inn Love’ Review: A Prize That Needs Some Work,Streaming Movie Review,,A Fine Romance to Watch While Sorting Socks,,,,By Helen T. Verongos,
19,The Sun Is Also a Star,The Sun Is Also a Star,9000000,508791,"'Romance', 'Drama'",en,https://www.thesunisalsoastarmovie.com,"Two young New Yorkers begin to fall in love over the course of a single day, as a series of potentially life-altering meetings loom over their heads - hers concerning her family’s deportation to Jamaica, and his concerning an education at Dartmouth.",18.156,100,6800000,2019-05-16,7.0,558,'English','United States of America',https://www.nytimes.com/2019/05/15/movies/the-sun-is-also-a-star-review.html,"Yara Shahidi and Charles Melton play teenagers falling in love on a hectic, sunny day in New York.",The New York Times,"subject: Movies;creative_works: The Sun Is also a Star (Movie);persons: Russo-Young, Ry;persons: Shahidi, Yara (2000- );persons: Yoon, Nicola (Author);persons: Melton, Charles (1991- );",2019-05-15T16:01:27+0000,697,"‘The Sun Is Also a Star’ Review: A Charming, if Generic, Adolescent Love Story",,,A Beautiful Day for Young Hearts,,,,By A.O. Scott,
20,Book of Love,Book of Love,0,892835,"'Comedy', 'Romance'",en,,"Henry, an English writer who has written a new book that has become a failure in the U.K, gets notified that the dull book has been highly trending over in Mexico. Little does he know that Maria, a Spanish translator, turned the book into an erotic novel. Henry and Maria then swerve around Mexico to do a book tour and go through a wind of events.",9.07,106,398876,2022-01-06,5.6,105,"'English', 'Spanish'","'Mexico', 'United Kingdom', 'United States of America'",https://www.nytimes.com/2022/02/04/movies/book-of-love-review.html,"Unbeknown to the author of an uninspired romance novel, the book takes a sharp turn into erotic territory in its Spanish-language release.",The New York Times,"subject: Movies;persons: Claflin, Sam;persons: Cal y Mayor, Analeine;creative_works: Book of Love (Movie);",2022-02-04T05:01:04+0000,269,‘Book of Love’ Review: Lust (Eventually) in Translation,,,Book of Love,,,,By Natalia Winkelman,
21,My Psychedelic Love Story,My Psychedelic Love Story,0,750595,'Documentary',en,https://www.sho.com/titles/3497302/my-psychedelic-love-story,An examination of the notorious high priest of LSD Timothy Leary through the eyes of his famed lover Joanna Harcourt-Smith.,1.319,107,0,2020-10-22,6.0,5,'English','United States of America',https://www.nytimes.com/2020/11/26/movies/my-psychedelic-love-story-review.html,"This Errol Morris documentary explores the relationship between the LSD guru and Joanna Harcourt-Smith, a woman who likened herself to Mata Hari.",The New York Times,"subject: Documentary Films and Programs;creative_works: My Psychedelic Love Story (Movie);persons: Harcourt-Smith, Joanna (1946-2020);persons: Morris, Errol;subject: LSD (Lysergic Acid Diethylamide);subject: Content Type: Personal Profile;",2020-11-26T12:00:05+0000,599,‘My Psychedelic Love Story’ Review: On the Run With Timothy Leary,Critic’s Pick,,Acid and Romance: On the Run With Timothy Leary,,,,By Glenn Kenny,
22,How to Talk to Girls at Parties,How to Talk to Girls at Parties,0,341689,"'Comedy', 'Music', 'Romance', 'Science Fiction'",en,https://a24films.com/films/how-to-talk-to-girls-at-parties,"In 1970s London, a teenage outsider named Enn falls in love with a rebellious alien girl named Zan, who has come to Earth for a party. Together, they navigate the complexities of intergalactic culture and the trials of first love.",9.536,103,0,2017-10-06,6.047,352,'English',"'United Kingdom', 'United States of America'",https://www.nytimes.com/2018/05/24/movies/how-to-talk-to-girls-at-parties-review.html,John Cameron Mitchell’s loony romantic comedy encourages young love to bloom in the soil of an alien visitation.,The New York Times,"subject: Movies;creative_works: How to Talk to Girls at Parties (Movie);persons: Mitchell, John Cameron;persons: Fanning, Elle;persons: Sharp, Alexander;",2018-05-24T11:00:01+0000,458,Review: An Alien Teaches a Teenage Punk ‘How to Talk to Girls at Parties’,,,Otherworldly Love in a Punk-Rock World,,,,By Jeannette Catsoulis,
23,All the Bright Places,All the Bright Places,0,342470,"'Romance', 'Drama'",en,https://www.netflix.com/title/80208802,Two teens facing personal struggles form a powerful bond as they embark on a cathartic journey chronicling the wonders of Indiana.,26.029,108,0,2020-02-28,7.7,2720,'English','United States of America',https://www.nytimes.com/2020/02/28/movies/all-the-bright-places-review.html,Elle Fanning and Justice Smith breathe life into a film about mental illness and the healing power of love.,The New York Times,"subject: Movies;creative_works: All the Bright Places (Movie);persons: Haley, Brett;persons: Fanning, Elle;persons: Smith, Justice (1995- );organizations: Netflix Inc;",2020-02-28T08:01:07+0000,233,‘All the Bright Places’ Review: Love Amid Trauma,Streaming Movie Review,,A Refreshing Exploration of Mental Illness,,,,By Candice Frederick,
24,"Cyrano, My Love",Edmond,0,544510,"'Comedy', 'History'",fr,http://roadsideattractions.com/filmography/cyranomylove,"Paris, France, December 1897. The young playwright Edmond Rostand feels like a failure. Inspiration has abandoned him. Married and father of two children, desperate and penniless, he persuades the great actor Constant Coquelin to perform the main role in his new play. But there is a problem: Coquelin wants to premiere it at Christmas and Edmond has not written a single word.",8.618,113,0,2018-11-10,7.5,464,"'French', 'Russian'","'Belgium', 'France'",https://www.nytimes.com/2019/10/17/movies/cyrano-my-love-review.html,This superficial take on the writing and initial staging of “Cyrano de Bergerac” is a whirlwind of soapy declarations and backstage chaos.,The New York Times,"subject: Movies;creative_works: Cyrano, My Love (Movie);persons: Michalik, Alexis;",2019-10-17T11:00:03+0000,291,"‘Cyrano, My Love’ Review: A Nose for Romance",,,"Cyrano, My Love",,,,By Jeannette Catsoulis,
25,Wife of a Spy,スパイの妻,0,688301,"'Drama', 'War', 'Thriller'",ja,https://intl.nikkatsu.com/sales/358.html,"It’s 1940, and the population of Japan is divided over its entry into World War II. Satoko, the wife of a fabric merchant, is devoted to her husband but is beginning to suspect he’s up to something. Soon she allows herself to be drawn into a game in which she enigmatically conceals her intentions.",13.631,114,0,2020-10-16,6.5,75,"'English', 'Japanese'",'Japan',https://www.nytimes.com/2021/09/16/movies/wife-of-a-spy-review-trust-or-fear-in-love-and-war.html,"In this latest work by Kiyoshi Kurosawa, a Japanese couple’s relationship is shaped by the forces of churning nationalism that surround it.",The New York Times,"subject: Movies;persons: Kurosawa, Kiyoshi;creative_works: Wife of a Spy (Movie);",2021-09-16T11:00:07+0000,448,‘Wife of a Spy’ Review: Trust or Fear in Love and War?,Critic’s Pick,,Marriage Amid Nationalism,,,,By Glenn Kenny,
26,The Mountain Between Us,The Mountain Between Us,35000000,290512,"'Drama', 'Adventure', 'Romance'",en,http://MountainBetweenUs.com,"Stranded on a mountain after a tragic plane crash, two strangers must work together to endure the extreme elements of the remote, snow-covered terrain. When they realize help is not coming, they embark on a perilous journey across hundreds of miles of wilderness, pushing each other to survive and discovering their inner strength.",26.194,109,62832209,2017-10-05,6.6,2201,'English','United States of America',https://www.nytimes.com/2017/10/05/movies/the-mountain-between-us-review-kate-winslet-idris-elba.html,Idris Elba and Kate Winslet crash into a mountain — and each other — in this drama.,The New York Times,"subject: Movies;creative_works: The Mountain Between Us (Movie);persons: ABU-ASSAD, HANY;persons: Elba, Idris;persons: Winslet, Kate;",2017-10-05T11:00:05+0000,272,Review: Love in a Cold Climate in ‘The Mountain Between Us’,,,The Mountain Between Us,,,,By Jeannette Catsoulis,
27,Hope Gap,Hope Gap,0,537140,'Drama',en,https://www.originpictures.co.uk/hope-gap,A couple's visit with their son takes a dramatic turn when the father tells him he plans on leaving his mother.,8.987,100,1136167,2019-10-03,6.346,114,'English',"'United Kingdom', 'United States of America'",https://www.nytimes.com/2020/03/05/movies/hope-gap-review-a-thin-line-between-love-and-war.html,Annette Bening and Bill Nighy play a couple that has lost its way after 29 years of marriage.,The New York Times,"subject: Movies;persons: Bening, Annette;persons: Nighy, Bill;persons: Nicholson, William (1948- );creative_works: Hope Gap (Movie);",2020-03-05T12:00:03+0000,257,‘Hope Gap’ Review: A Thin Line Between Love and War,,,Hope Gap,,,,By Aisha Harris,
